Class,HtmlExists,DomainCount,DotCount,AccountExists,PaypalExists,LoginExists,BankExists
0,0,0,8,0,0,0,0
1,0,5,2079,0,0,0,1
1,0,0,5645,0,0,0,0
0,0,1,59,0,0,0,0
1,0,5,2496,1,0,0,1
1,0,0,2578,1,0,0,1
1,0,5,2005,1,0,0,1
1,0,10,2988,1,0,0,1
1,0,0,1434,0,0,0,0
0,0,0,8,0,0,0,0
0,0,0,27,0,0,0,0
0,0,2,80,0,0,0,0
1,0,1,3561,1,0,0,1
0,0,1,692,0,0,0,0
0,0,0,147,0,0,0,0
0,0,0,31,0,0,0,0
1,0,0,796,0,0,0,0
0,0,0,10,0,0,0,0
0,0,0,3,0,0,0,0
1,0,0,3358,0,0,0,0
0,0,0,18,0,0,0,0
1,0,5,1517,1,0,0,1
1,0,2,426,0,0,0,0
0,0,0,45,0,0,0,0
1,0,1,386,0,0,0,0
1,0,9,865,0,0,0,0
1,0,0,544,0,0,0,0
0,0,1,563,0,0,0,0
0,0,1,71,0,0,0,0
1,0,1,1481,1,0,0,1
1,0,6,2547,1,0,0,0
1,0,0,2377,1,0,0,0
1,0,17,3667,1,0,0,1
0,0,0,3,0,0,0,0
1,0,7,2782,1,0,0,1
0,0,3,202,0,0,0,0
0,0,0,21,0,0,0,0
0,0,0,44,0,0,0,0
0,0,15,3734,0,0,0,0
0,0,1,120,0,0,0,0
0,0,0,3,0,0,0,0
0,0,4,1911,0,0,0,0
0,0,14,15213,0,0,0,0
1,0,9,1768,1,0,0,0
1,0,0,2569,1,0,0,0
1,0,4,2211,1,0,0,0
0,0,0,289,0,0,0,0
1,0,4,1351,1,0,0,1
0,0,0,74,0,0,0,0
0,0,0,257,0,0,0,0
0,0,1,134,0,0,0,0
1,0,11,3660,1,0,0,1
1,1,0,2875,1,0,0,1
0,0,1,1720,0,0,0,0
1,0,3,872,1,0,0,1
1,0,4,4746,1,0,0,1
0,0,0,43,0,0,0,0
1,0,10,2555,1,0,0,1
0,0,0,21,0,0,0,0
1,1,7,3895,1,0,0,1
0,0,3,84,0,0,0,0
0,0,0,18,0,0,0,0
1,0,6,1705,0,0,0,0
1,0,0,2748,0,0,0,0
0,0,2,526,0,0,0,0
0,0,0,151,0,0,0,0
0,0,1,112,0,0,0,0
1,0,4,356,0,0,0,0
1,0,1,2416,1,0,0,1
0,0,0,1246,0,0,0,0
0,0,0,103,0,0,0,0
0,0,0,95,0,0,0,0
0,0,1,467,0,0,0,0
1,0,2,602,0,0,0,0
1,0,1,2949,0,0,0,1
0,0,0,3,0,0,0,0
0,0,0,32,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,87,0,0,0,0
0,0,0,87,0,0,0,0
1,0,10,3233,1,0,0,1
0,0,1,252,0,0,0,0
0,0,0,127,0,0,0,0
0,0,0,395,0,0,0,0
1,0,10,2598,0,0,0,0
1,0,3,2468,0,0,0,1
0,0,0,10,0,0,0,0
0,0,0,142,0,0,0,0
0,0,1,282,0,0,0,0
1,0,0,2578,1,0,0,1
1,0,5,662,1,0,0,1
1,0,1,1570,1,0,0,0
1,0,2,1504,1,0,0,1
1,0,2,198,0,0,0,0
0,0,3,1070,0,0,0,0
1,0,0,3676,0,0,0,1
1,0,6,4100,1,0,0,1
0,0,0,12,0,0,0,0
0,0,0,15,0,0,0,0
0,0,3,1521,0,0,0,0
0,0,0,245,0,0,0,0
0,0,0,2,0,0,0,0
0,0,1,273,0,0,0,0
1,0,2,396,0,0,0,0
0,1,35,19620,0,0,0,0
0,0,1,515,0,0,0,0
1,0,4,2485,1,0,0,0
0,0,0,72,0,0,0,0
0,0,0,400,0,0,0,1
0,0,0,3,0,0,0,0
0,0,3,199,0,0,0,0
0,0,5,4360,0,0,0,1
0,0,0,3,0,0,0,0
1,0,4,300,0,0,0,0
0,0,1,371,0,0,0,0
1,0,1,2110,1,0,0,1
1,0,6,2482,1,0,0,1
0,0,0,29,0,0,0,0
0,0,0,2,0,0,0,0
0,0,0,61,0,0,0,0
1,0,0,4515,0,0,0,0
0,0,0,33,0,0,0,0
1,0,8,3342,1,0,0,1
0,0,0,2,0,0,0,0
0,0,2,223,0,0,0,0
0,0,2,234,0,0,0,0
0,0,0,14,0,0,0,0
0,0,0,121,0,0,0,0
1,0,7,640,0,0,0,0
0,0,0,12,0,0,0,0
1,0,4,669,0,0,0,0
1,0,5,3485,1,0,0,1
0,0,0,24,0,0,0,0
0,0,0,349,0,0,0,0
1,0,4,2196,1,0,0,0
1,0,1,208,0,0,0,0
1,1,0,475,0,0,0,0
0,0,4,1429,0,0,0,0
0,0,1,169,0,0,0,0
1,0,2,1250,0,0,0,0
1,0,6,2852,0,0,0,1
1,0,0,4300,0,0,0,0
0,0,2,412,0,0,0,0
0,0,0,3,0,0,0,0
1,0,3,278,0,0,0,0
0,0,0,343,0,0,0,0
1,0,12,3599,1,0,0,1
1,0,7,3296,1,0,0,1
0,0,18,8362,1,0,0,0
1,0,0,1331,1,0,0,0
0,0,0,462,0,0,0,0
1,0,0,1168,0,0,0,0
0,0,3,319,0,0,0,0
0,0,8,5093,0,0,0,0
0,0,0,242,0,0,0,0
1,0,3,480,0,0,0,0
0,0,0,48,0,0,0,0
1,0,8,1055,0,0,0,0
1,0,11,3252,1,0,0,1
0,0,2,143,0,0,0,0
1,0,1,2138,1,0,0,1
1,1,8,5428,1,0,0,1
0,0,1,129,0,0,0,0
1,0,3,2212,1,0,0,1
1,0,9,3517,1,0,0,1
1,0,3,2258,1,0,0,1
0,0,0,3,0,0,0,0
0,0,0,7,0,0,0,0
1,0,14,3321,1,0,0,1
0,0,0,2,0,0,0,0
0,0,0,39,0,0,0,0
0,0,0,34,0,0,0,0
0,0,0,19,0,0,0,0
0,0,2,668,0,0,0,0
1,0,3,1300,0,0,0,0
1,0,0,2928,1,0,0,0
0,0,0,31,0,0,0,0
0,0,2,142,0,0,0,0
1,0,4,359,0,0,0,0
0,0,0,44,0,0,0,0
0,0,0,44,0,0,0,0
0,0,0,76,0,0,0,0
0,0,0,51,0,0,0,0
0,0,4,333,0,0,0,0
1,0,21,3383,1,0,0,1
1,0,5,1050,0,0,0,0
0,0,0,4,0,0,0,0
0,0,2,130,0,0,0,0
0,1,22,9921,1,0,0,1
1,0,0,72,0,0,0,0
0,0,0,19,0,0,0,0
0,0,0,21,0,0,0,0
0,0,2,601,0,0,0,0
1,0,1,594,1,0,0,0
1,0,6,1988,1,0,0,1
1,0,4,1401,0,0,0,0
0,0,0,97,0,0,0,0
0,0,0,99,0,0,0,0
0,0,0,14,0,0,0,0
0,0,0,10,0,0,0,0
0,0,0,295,0,0,0,0
1,0,8,2707,1,0,0,1
0,0,0,492,0,0,0,0
1,0,6,1131,0,0,0,0
1,0,2,3075,1,0,0,1
1,0,1,1278,1,0,0,0
1,0,2,1829,1,0,0,1
0,0,0,3,0,0,0,0
0,0,0,40,0,0,0,0
1,0,0,3596,0,0,0,0
1,0,4,2618,0,0,0,0
1,0,13,1887,1,0,0,1
0,0,0,54,0,0,0,0
0,0,0,85,0,0,0,0
0,0,0,65,0,0,0,0
0,0,0,41,0,0,0,0
0,0,1,237,0,0,0,0
0,0,0,588,0,0,0,0
1,0,15,3197,0,0,0,0
0,0,0,84,0,0,0,0
0,0,0,8,0,0,0,0
0,0,5,646,0,0,0,0
0,0,0,863,0,0,0,0
0,0,0,17,0,0,0,0
1,0,6,3294,1,0,0,1
0,0,0,14,0,0,0,0
0,0,0,150,0,0,0,0
0,0,0,288,0,0,0,0
1,0,0,1500,1,0,0,0
0,0,0,3,0,0,0,0
1,0,0,2748,0,0,0,0
1,0,4,3415,1,0,0,1
0,0,0,30,0,0,0,0
1,0,9,3541,1,0,0,1
1,1,0,4048,0,1,0,0
0,0,0,21,0,0,0,0
1,0,1,1920,1,0,0,1
1,0,7,1761,1,0,0,1
0,0,0,86,0,0,0,0
1,0,11,1824,1,0,0,1
0,0,1,71,0,0,0,0
1,0,12,1900,1,0,0,1
0,0,0,52,0,0,0,0
1,0,4,2055,0,0,0,0
1,0,6,2726,1,0,0,1
1,0,30,12495,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,3,0,0,0,0
1,1,0,2310,1,0,0,0
0,0,0,4,0,0,0,0
1,0,3,1913,0,0,0,1
0,0,1,684,0,0,0,0
0,0,0,15,0,0,0,0
0,0,0,49,0,0,0,0
1,0,4,986,1,0,0,1
1,0,0,55,0,0,0,0
1,0,0,3225,1,0,0,1
0,0,0,184,0,0,0,0
0,0,0,3,0,0,0,0
1,0,2,2009,1,0,0,0
1,0,0,1184,1,0,0,1
1,0,0,728,0,0,0,0
0,0,0,70,0,0,0,0
1,0,0,501,0,0,0,1
1,0,1,255,0,0,0,1
1,0,11,2315,1,0,0,1
0,0,0,13,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,89,0,0,0,0
0,0,0,53,0,0,0,0
0,0,0,59,0,0,0,0
0,0,2,163,0,0,0,0
1,0,7,1325,1,0,0,0
1,0,13,2843,0,0,0,1
0,0,0,159,0,0,0,0
0,0,1,394,0,0,0,0
1,0,12,3141,0,0,0,0
0,0,0,19,0,0,0,0
1,0,5,3758,1,0,0,1
1,1,6,1714,1,0,0,1
1,0,2,3230,1,0,0,1
0,0,0,2,0,0,0,0
0,0,0,1542,0,0,0,0
0,0,0,19,0,0,0,0
0,0,7,8022,0,0,0,0
1,0,2,1305,1,0,0,1
1,0,2,530,0,0,0,0
1,0,0,74,0,0,0,1
1,0,1,2691,1,0,0,1
0,0,0,131,0,0,0,0
0,0,0,96,0,0,0,0
1,0,0,1850,0,0,0,0
0,0,0,75,0,0,0,0
0,0,0,23,0,0,0,0
1,0,6,3638,1,0,0,1
0,0,1,75,0,0,0,0
0,0,9,3344,0,0,0,0
1,0,6,3252,1,0,0,1
0,0,0,2,0,0,0,0
1,0,0,450,0,0,0,0
0,0,1,146,0,0,0,0
0,0,0,38,0,0,0,0
0,0,2,215,0,0,0,0
1,0,0,29,0,0,0,0
0,0,0,1500,0,0,0,0
1,1,11,3400,1,0,0,1
0,0,1,155,0,0,0,0
1,1,10,3541,1,0,0,1
1,0,0,3477,1,0,0,1
1,0,0,1879,1,0,0,0
1,0,7,2491,1,0,0,1
0,0,1,652,0,0,0,0
0,0,1,76,0,0,0,0
1,0,0,2380,1,0,0,0
0,0,0,50,0,0,0,0
1,0,9,2532,1,0,0,1
0,0,0,203,0,0,0,0
1,0,0,183,0,0,0,1
0,0,0,69,0,0,0,0
0,0,1,26,0,0,0,0
1,0,7,1997,0,0,0,1
1,1,5,2315,1,0,0,1
0,0,0,36,0,0,0,0
1,0,10,2634,1,0,0,1
0,0,0,169,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,87,0,0,0,0
1,0,5,3237,1,0,0,1
0,0,5,1740,0,0,0,0
1,0,0,1701,1,0,0,1
1,0,0,399,0,0,0,0
1,0,6,2048,1,0,0,1
1,0,0,3060,1,0,0,1
1,0,2,134,0,0,0,0
0,0,0,31,0,0,0,0
0,0,1,81,0,0,0,0
0,0,1,100,0,0,0,0
0,0,0,667,0,0,0,0
1,0,1,1504,1,0,0,0
1,0,0,2456,1,0,0,0
1,0,0,3867,0,0,0,0
1,0,1,2494,0,0,0,1
0,0,2,80,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,71,0,0,0,0
1,0,0,2139,1,0,0,0
0,0,0,204,0,0,0,0
1,0,3,952,1,0,0,1
0,0,1,98,0,0,0,0
0,0,0,75,0,0,0,0
1,0,10,2945,1,0,0,1
0,0,2,707,0,0,0,0
1,0,2,438,0,0,0,0
1,1,20,1432,0,0,0,1
0,0,6,848,0,0,0,0
0,0,0,168,0,0,0,0
0,0,0,29,0,0,0,0
1,0,0,3060,1,0,0,0
0,0,0,90,0,0,0,0
0,0,0,10,0,0,0,0
1,0,3,406,0,0,0,0
0,0,0,68,0,0,0,0
1,0,13,4543,1,0,0,1
1,0,0,2612,1,0,0,1
0,0,1,91,0,0,0,0
0,0,1,109,0,0,0,0
0,0,0,57,0,0,0,0
0,0,0,12,0,0,0,0
0,0,1,72,0,0,0,0
0,0,2,226,0,0,0,0
1,0,0,3113,0,0,0,0
0,0,0,195,0,0,0,0
0,0,3,546,0,0,0,0
1,0,11,3790,1,0,0,1
0,0,5,2500,1,0,0,0
1,0,0,6111,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,34,0,0,0,0
1,0,8,2704,1,0,0,1
0,0,0,8,0,0,0,0
1,0,9,890,0,0,0,0
0,0,0,16,0,0,0,0
0,0,0,29,0,0,0,0
1,0,11,3107,1,0,0,0
0,0,0,127,0,0,0,0
1,0,5,1986,1,0,0,0
1,0,3,1627,1,0,0,1
0,0,1,86,0,0,0,0
1,0,0,3391,1,0,0,1
0,0,0,61,0,0,0,0
1,0,15,5482,1,0,0,1
0,0,1,84,0,0,0,0
0,0,1,195,0,0,0,0
1,0,2,1015,0,0,0,0
1,0,2,4697,1,0,0,1
1,1,3,3265,1,0,0,1
0,0,1,62,0,0,0,0
0,0,0,45,0,0,0,0
1,0,13,3529,1,0,0,1
0,0,0,21,0,0,0,0
0,0,0,18,0,0,0,0
0,0,0,15,0,0,0,0
0,0,1,257,0,0,0,0
0,0,0,3,0,0,0,0
1,0,3,555,0,0,0,1
1,0,3,2306,1,0,0,1
0,0,0,24,0,0,0,0
1,0,2,4818,1,0,0,1
0,0,0,40,0,0,0,0
0,0,18,6109,0,0,0,0
1,0,4,1457,1,0,0,1
1,1,1,599,0,0,0,1
0,0,0,2,0,0,0,0
0,0,0,33,0,0,0,0
1,0,8,1489,1,0,0,0
1,0,2,1682,1,0,0,0
0,0,2,108,0,0,0,0
0,0,0,54,0,0,0,0
1,0,3,1457,1,0,0,1
0,0,1,189,0,0,0,0
1,0,5,678,0,0,0,1
1,0,6,1228,1,0,0,1
0,0,1,219,0,0,0,0
1,0,6,2370,1,0,0,1
1,0,18,3313,1,0,0,1
1,0,10,3123,1,0,0,1
1,0,0,1502,0,0,0,0
0,0,14,8962,1,0,0,1
0,0,0,66,0,0,0,0
0,0,0,84,0,0,0,0
1,0,0,2611,0,0,0,0
1,0,0,2996,1,0,0,0
0,0,0,16,0,0,0,0
0,0,0,192,0,0,0,0
1,0,16,3809,1,0,0,1
0,0,0,84,0,0,0,0
1,0,0,2018,0,0,0,0
1,1,0,3658,1,1,0,0
1,0,0,3647,0,0,0,0
0,0,3,526,0,0,0,0
0,0,0,27,0,0,0,0
1,0,6,1959,0,0,0,0
0,0,0,72,0,0,0,0
1,0,5,2494,1,0,0,0
0,0,0,82,0,0,0,0
1,1,10,1262,0,0,0,1
0,0,2,149,0,0,0,0
0,0,0,124,0,0,0,0
0,0,0,10,0,0,0,0
0,0,2,144,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,33,0,0,0,0
0,0,3,224,0,0,0,0
1,0,12,3376,0,0,0,0
1,0,9,2452,1,0,0,0
1,0,0,1264,1,0,0,0
1,0,2,851,0,0,0,0
0,0,0,100,0,0,0,0
0,0,0,60,0,0,0,0
1,0,0,1551,1,0,0,0
0,0,0,19,0,0,0,0
0,0,0,14,0,0,0,0
1,0,0,254,0,0,0,0
1,0,1,766,0,0,0,0
1,0,1,1212,0,0,0,0
0,0,0,286,0,0,0,0
1,1,2,726,1,0,0,1
1,0,7,2221,1,0,0,1
0,0,0,15,0,0,0,0
1,0,0,2906,1,0,0,1
1,0,0,1249,0,0,0,0
1,1,8,2265,1,0,0,0
1,0,2,939,0,0,0,0
1,0,2,215,0,0,0,0
0,0,0,6,0,0,0,0
0,0,0,310,0,0,0,0
0,0,0,1276,0,0,0,0
0,0,0,8,0,0,0,0
1,1,6,1426,0,0,0,0
1,0,1,224,0,0,0,0
1,0,4,1396,1,0,0,0
0,0,0,52,0,0,0,0
0,0,0,46,0,0,0,0
0,0,1,133,0,0,0,0
0,0,0,51,0,0,0,0
0,0,0,344,0,0,0,0
1,0,0,2520,0,0,0,1
0,0,0,35,0,0,0,0
0,0,0,27,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,91,0,0,0,0
1,0,1,684,1,0,0,0
1,0,0,1833,0,0,0,1
1,0,20,2870,1,0,0,1
1,0,3,792,1,0,0,1
1,0,1,1563,0,0,0,0
1,0,3,2971,1,0,0,1
1,0,0,2152,1,0,0,0
0,0,0,255,0,0,0,0
0,0,0,34,0,0,0,0
1,0,1,189,0,0,0,1
0,0,0,64,0,0,0,0
1,0,4,2157,1,0,0,0
1,0,0,1891,0,0,0,0
0,0,3,842,0,0,0,0
1,0,0,2803,1,0,0,1
0,0,0,78,0,0,0,0
0,0,1,305,0,0,0,0
1,0,0,26,0,0,0,0
0,0,1,86,0,0,0,0
1,0,5,3528,1,0,0,1
1,0,0,3385,1,0,0,1
0,0,0,8,0,0,0,0
1,0,0,2245,1,0,0,0
0,0,1,179,0,0,0,0
0,0,0,28,0,0,0,0
0,0,0,49,0,0,0,0
0,0,0,66,0,0,0,0
1,0,13,2260,1,0,0,0
1,0,15,3220,0,0,0,0
0,0,1,82,0,0,0,0
0,0,0,6,0,0,0,0
1,0,0,3511,1,0,0,0
0,0,2,204,0,0,0,0
0,0,0,86,0,0,0,0
1,0,7,3495,1,0,0,1
1,0,2,2892,1,0,0,1
0,0,0,48,0,0,0,0
0,0,1,1136,0,0,0,0
1,0,0,2546,1,0,0,1
0,0,0,41,0,0,0,0
0,0,1,36,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,3,0,0,0,0
1,0,4,1396,0,0,0,1
1,0,0,422,0,0,0,0
0,0,0,3,0,0,0,0
0,0,1,145,0,0,0,0
1,0,4,1753,0,0,0,0
0,0,2,128,0,0,0,0
0,0,1,243,0,0,0,0
1,1,3,310,0,0,0,0
0,0,0,64,0,0,0,0
0,0,0,145,0,0,0,0
1,0,0,2131,0,0,0,0
0,0,1,100,0,0,0,0
0,0,0,40,0,0,0,0
0,0,14,6816,0,0,0,0
0,0,0,61,0,0,0,0
1,0,0,504,0,0,0,0
1,1,1,706,0,0,0,0
0,0,2,289,0,0,0,0
0,0,0,210,0,0,0,0
0,0,0,87,0,0,0,0
1,0,0,2829,1,0,0,1
0,0,0,7,0,0,0,0
1,0,5,2188,0,0,0,0
0,0,0,5,0,0,0,0
0,0,0,74,0,0,0,0
1,0,0,1243,0,0,0,1
1,0,1,2312,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,90,0,0,0,0
0,0,0,2,0,0,0,0
0,0,0,51,0,0,0,0
1,0,3,2761,1,0,0,1
0,0,0,71,0,0,0,0
0,0,0,92,0,0,0,0
1,0,0,2204,1,0,0,1
1,0,1,55,0,0,0,0
0,0,0,288,0,0,0,0
0,0,0,63,0,0,0,0
0,0,0,48,0,0,0,0
1,0,2,3848,1,0,0,1
0,0,0,95,0,0,0,0
0,0,0,155,0,0,0,0
1,0,1,1634,1,0,0,0
1,0,9,687,0,0,0,0
1,0,0,3114,1,0,0,1
0,0,0,44,0,0,0,0
0,0,0,110,0,0,0,0
0,0,0,10,0,0,0,0
0,0,1,111,0,0,0,0
1,0,0,3598,1,0,0,1
1,0,0,4823,0,0,0,0
1,0,3,239,0,0,0,0
1,0,1,306,0,0,0,0
0,0,0,39,0,0,0,0
0,0,1,355,0,0,0,0
1,0,0,2513,1,0,0,1
0,0,0,9,0,0,0,0
0,0,0,17,0,0,0,0
1,0,1,1368,1,0,0,1
1,0,0,409,0,0,0,0
1,0,11,2671,0,0,0,1
0,0,0,144,0,0,0,0
0,0,0,3,0,0,0,0
0,0,2,99,0,0,0,0
0,0,2,260,0,0,0,0
0,0,0,31,0,0,0,0
0,0,2,82,0,0,0,0
1,0,2,900,0,0,0,0
1,0,0,730,0,0,0,1
1,0,1,430,0,0,0,1
1,0,6,4252,1,0,0,1
0,0,0,59,0,0,0,0
0,0,0,32,0,0,0,0
0,0,0,26,0,0,0,0
1,0,8,3506,1,0,0,0
1,0,0,2520,0,0,0,0
0,0,0,9,0,0,0,0
0,0,1,171,0,0,0,0
1,0,2,2616,1,0,0,1
0,0,0,40,0,0,0,0
0,0,1,114,0,0,0,0
1,0,3,2759,1,0,0,1
1,0,0,178,0,0,0,0
0,0,1,101,0,0,0,0
0,0,0,55,0,0,0,0
1,1,0,48,0,0,0,0
0,0,0,76,0,0,0,0
1,0,0,4039,1,0,0,1
0,0,0,3,0,0,0,0
1,0,4,3097,0,0,0,0
0,0,0,2,0,0,0,0
0,0,0,35,0,0,0,0
1,0,1,409,0,0,0,0
